,S3P2_ES,,,z,S3P2,S3P2_ES,,,
2164,ECONOMIA,,,2,5214,LICENCIADA EN DISE√ëO DE MODAS,,,
2414,EDUCACION,,,3,5214,LICENCIADO EN DISE√ëO,,,
1841,EDUCACION PREESCOLAR,,,3,5214,LICENCIADO EN DISE√ëO,,,
1417,EDUCACION SECUNDARIA,,,4,5214,DISE√ëO,,,
803,EDUCACIOON FISICA,,,4,5214,DISE√ëO DE INTERIORES,,,
695,ELECTRONICA,,,4,5214,DISE√ëO DE MODAS Y CALZADO,,,
2575,ELECTRONICA Y COMUNICASIONES,,,3,5221,LIC. EN TEOLOGIA CON  ENFASIS EN IDIOMAS,,,
212,ELETROMECANICA,,,5,5221,SACERDOTE,,,
2515,EMFERMERA DE REHABLITACION,,,3,5222,IDIOMAS,,,
320,EN ADMINISTRACION DE EMPRESAS,,,3,5222,IDIOMAS,,,
1138,EN CIENCIAS DE NUTRICION TRASNACIONAL,,,3,5222,IDIOMAS APLICADOS,,,
1831,EN CIENCIAS SOCIALES EN ESTUDIOS CULTURALES,,,3,5222,LENGUA INGLESA,,,
1204,EN GESTION DE SERVICIOS GASTRONOMICOS,,,3,5222,LENGUAS EXTRANJERAS,,,
1373,ENERGIA RENOVABLES,,,3,5222,LICENCIARURA EN INGLES,,,
2182,ENFEMERIA,,,4,5223,LENGUISTICA APLICADA,,,
185,ENFEMERIA,,,4,5223,LETRAS HISPANICAS,,,
1753,ENFERMERA,,,4,5223,LINGUISTICA,,,
1522,ENFERMERA,,,3,5224,LICENCIATURA EN HISTORIA,,,
763,ENFERMERA,,,4,5225,FILOSOFIA Y LETRAS,,,
167,ENFERMERA,,,4,5225,FILOSOFIA Y LETRAS,,,
653,ENFERMERA,,,2,5311,LICENCIADA EN PSICOLOGIA,,,
1621,ENFERMERA GENERAL,,,2,5311,LICENCIADA EN PSICOLOGIA,,,
1647,ENFERMERA GENERAL,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
1876,ENFERMERA GENERAL,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
357,ENFERMERIA,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
1159,ENFERMERIA,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
1419,ENFERMERIA,,,2,5311,LICENCIATURA EN PSICOLOGIA,,,
2670,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
368,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
1857,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
2192,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
664,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
874,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
969,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
139,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
1846,ENFERMERIA,,,2,5311,PSICOLOGIA,,,
2025,ENFERMERIA GENERAL,,,2,5311,PSICOLOGIA,,,
1056,ENFERMERIA INFANTIL,,,2,5311,PSICOLOGIA,,,
2428,ENFERMERIA PEDIATRICA,,,2,5311,PSICOLOGIA CLINICA,,,
1598,ENFERMERIA Y OBSTETRICIA,,,3,5311,SICOLOGIA,,,
2740,ENTRENADORA DE EDUCACION,,,3,5311,SICOLOGIA,,,
1945,ESPECIALIDAD EN GINECOLOG√çA,,,1,5312,INGENIERO EN DESARROLLO RURAL,,,
2065,ESPECIALIDAD EN INGENIERIA URBANA,,,1,5312,INGENIERO EN DESARROLLO RURAL,,,
2069,ESPECIALIDAD EN PSICOLOGIA ESDUCATIVA,,,3,5312,SOCIOLOGIA,,,
2073,ESPECIALISTA EN PROTESIS DENTALES,,,3,5313,CARRERA EN RELACIONES INTERNACIONALES,,,
496,ESPECIALIZADO EN MATEMATICAS,,,3,5313,RELACIONES INTERNACIONALES,,,
374,ESTADISTICAS EXPRIMENTADAS,,,3,5314,ECONOMIA,,,
1858,ESTOMATOLOGIA,,,3,5314,LIC. EN ECONOMIA,,,
2511,ESTOMATOLOGIA,,,3,5314,LICENCIADO EN ECONOMIA,,,
1810,ESTOMATOLOGIA,,,3,5314,LICENCIATURA EN ECONOMIA,,,
522,EVALUACION DE PROYECTOS,,,3,5314,LICENCIATURA EN ECONOMIA,,,
506,Especialidad en direcci√≥n de organizaciones tur√≠st,,,3,5314,LICENCIATURA EN ECONOMIA,,,
1326,FILOSOFIA Y LETRAS,,,3,5315,LIC. EN TRABAJO SOCIAL,,,
1800,FILOSOFIA Y LETRAS,,,3,5315,LICENCIADA EN TRABAJO SOCIAL,,,
66,FINANZAS,,,3,5315,LICENCIADA EN TRABAJO SOCIAL,,,
452,FINANZAS,,,3,5315,LICENCIATURA EN TRABAJO SOCIAL,,,
1420,FINANZAS INTERNACIONALES,,,3,5315,TRABAJADORA SOCIAL,,,
286,FISIOTERAPIA,,,3,5315,TRABAJO SOCIAL,,,
1751,FISIOTERAPIA,,,3,5315,TRABAJO SOCIAL,,,
2578,FISIOTERAPIA,,,3,5315,TRABAJO SOCIAL,,,
990,FORMACION DOCENTE,,,3,5315,TRABAJO SOCIAL,,,
1509,GASTRONOMIA,,,5,5315,GERONTOLOGIA,,,
1428,GASTRONOMIA,,,3,5321,CIENCIAS DE LA COMUNICACION,,,
1984,GASTRONOMIA,,,3,5321,CIENCIAS DE LA COMUNICACION,,,
1115,GASTRONOMIA,,,3,5321,CIENCIAS DE LA COMUNICACION,,,
1878,GASTRONOMIA,,,3,5321,CIENCIAS DE LA COMUNICACION,,,
2697,GASTRONOMIA,,,3,5321,CIENCIAS DE LA COMUNICACION,,,
751,GASTRONOMIA,,,3,5321,CIENCIAS DE LA COMUNICACION,,,
961,GASTRONOMIA,,,3,5321,CIENCIAS Y TECNICAS DE LA COMUNICACION,,,
2738,GERONTOLOGIA,,,3,5321,CINECIAS DE LA COMUNICACION,,,
2556,GESTION EMPRESARIAL,,,3,5321,COMUNICACION SOCIAL,,,
2494,GESTION EMPRESARIAL,,,3,5321,COMUNICACION Y PERIODISMO,,,
1106,GESTION PEDAGOGICA,,,3,5321,LICENCIADO EN CIENCIAS DE LA COMUNICACION,,,
555,GESTION TURISTICA,,,3,5321,PERIODISMO,,,
910,GESTION Y DESARROLLO  TURISTICO,,,3,5330,ADMINISTRACION,,,
2593,GESTION Y DESARROLLO TURISTICO,,,3,5330,ADMINISTRACION,,,
1401,GINECOLOGIA,,,3,5330,ADMINISTRACION,,,
773,HISTOPATOLOGIA,,,3,5330,ADMINISTRACION,,,
1739,IDIOMAS,,,3,5330,ADMINISTRACION,,,
1137,IDIOMAS,,,3,5330,ADMINISTRACION,,,
2551,IDIOMAS APLICADOS,,,3,5330,ADMINISTRADOR,,,
1358,IJNGENERIA INDUSTRIAL,,,3,5330,LIC ADMINISTRACION,,,
2294,IMNGENIERO MINERO,,,3,5330,LIC EN ADMINISTRACION,,,
8,INEGENIERIA INDUSTRIAL ELECTRICA,,,3,5330,LICENCIADA EN ADMINISTRACION,,,
1039,INFORMATICA,,,3,5330,LICENCIADA EN ADMINISTRACION,,,
1381,INFORMATICA,,,3,5330,LICENCIATURA ADMINISTRATIVA,,,
818,INFORMATICA,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
1155,INFORMATICA ADMINISTRATIVA,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
1404,INFORMATICA ADMINISTRATIVA,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
1655,INFORMATICA AVANZADA,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
2221,INFORMATICA CONTABLE,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
401,ING. EN GESTION EMPRESARIAL,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
432,ING. INDISTRIAL,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
409,ING. INDUSTRIAL Y SISTEMAS,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
362,ING. MECANICO ADMINISTRADOR,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
1143,INGENERIA AMBIENTAL,,,3,5330,LICENCIATURA EN ADMINISTRACION,,,
2420,INGENERIA CIVIL,,,3,5330,LICENCIATURA EN ADMINISTRACI√ìN,,,
246,INGENERIA CIVIL,,,3,5331,ADMINISTRACION Y NEGOCIOS INTERNACIONALES,,,
199,INGENERIA ELECTRO MECANICA,,,3,5331,COMERCIO EXTERIOR Y ADUANA,,,
1210,INGENERIA EN MANTENIMIENTO INDUSTRIAL,,,3,5331,COMERCIO EXTERIOR Y ADUANAS,,,
265,INGENERIA EN TECNOLOGIA COMPUTACIONAL,,,3,5331,COMERCIO EXTERIOR Y LEGISLACION ADUANERA,,,
2267,INGENIERI CIVIL,,,3,5331,COMERCIO INTERNACIONA,,,
233,INGENIERI EN DESARROLLO COMPUTACIONAL,,,3,5331,COMERCIO INTERNACIONAL,,,
1089,INGENIERIA,,,3,5331,COMERCIO INTERNACIONAL,,,
2301,INGENIERIA AMBIENTAL,,,3,5331,COMERCIO INTERNACIONAL,,,
1660,INGENIERIA BIOMEDICA,,,3,5331,COMERCIO INTERNACIONAL,,,
2152,INGENIERIA BIOQUIMICA,,,3,5331,DESARROLLO DE NEGOCIOS,,,
1397,INGENIERIA CIVIL,,,3,5331,LIC. EN NEGOCIOS INTERNACIONALES,,,
284,INGENIERIA CIVIL,,,3,5331,LICENCIADO EN COMERCIO EXTERIOR,,,
402,INGENIERIA CIVIL,,,3,5331,LICENCIATURA EN COMERCIO EXTERIOR,,,
2329,INGENIERIA CIVIL,,,3,5331,LICENCIATURA EN COMERCIO INTERNACIONAL,,,
2328,INGENIERIA CIVIL,,,3,5331,LICENCIATURA EN RELACIONES COMERCIALES,,,
2146,INGENIERIA CIVIL,,,3,5331,NBEGOCIOS INTERNACIONALES,,,
1974,INGENIERIA CIVIL,,,3,5331,NEGOCIOS INTERNACIONALES,,,
2682,INGENIERIA CIVIL,,,3,5332,LIC. EN MERCADOTECNIA,,,
2205,INGENIERIA CIVIL,,,3,5332,LICENCIADA EN MERCADOTECNIA,,,
1400,INGENIERIA CIVIL,,,3,5332,LICENCIADO EN MERCADOTECNIA,,,
349,INGENIERIA CIVIL Y ADMINISTRACION,,,3,5332,LICENCIADO EN MERCADOTECNIA,,,
2179,"INGENIERIA CIVIL, ESPECIALIDAD EN HIDROLOGIA CON M",,,3,5332,LICENCIATURA EN MERCADOTECNIA,,,
1301,INGENIERIA DE LAS REACCIONES QUIMICAS,,,3,5332,LICENCIATURA EN MERCADOTECNIA,,,
535,INGENIERIA DEL MEDIO AMBIENTE,,,3,5332,LICENCIATURA EN MERCADOTECNIA,,,
1104,INGENIERIA ECONOMICA Y FINANCIERA,,,3,5332,LICENCIATURA EN MERCADOTECNIA,,,
2641,INGENIERIA ELECTRONICA,,,3,5332,LICENCIATURA EN MERCADOTECNIA Y PUBLICIDAD,,,
2374,INGENIERIA ELECTRONICA,,,3,5332,MERCADOTECNIA,,,
1041,INGENIERIA EN ALIMENTOS,,,3,5332,MERCADOTECNIA,,,
741,INGENIERIA EN COMPUTACION,,,3,5332,MERCADOTECNIA,,,
2771,INGENIERIA EN COMUNICACIONES Y ELECTRONICA,,,3,5332,PUBLICIDAD Y MERCADOTECNIA,,,
1516,INGENIERIA EN DISE√ëO TEXTIL Y MODA,,,3,5333,FINANZAS,,,
111,INGENIERIA EN ELECTRONICA,,,3,5333,LICENCIATURA EN BANCA Y FINANZAS,,,
1142,INGENIERIA EN ENERGIA,,,3,5333,LICENCIATURA EN FINANZAS Y BANCA,,,
2810,INGENIERIA EN GESTION EMPRESARIAL,,,3,5334,CONTABILIDAD,,,
2038,INGENIERIA EN GESTION EMPRESARIAL,,,3,5334,CONTABILIDAD,,,
537,INGENIERIA EN GESTION EMPRESARIAL,,,3,5334,CONTABILIDAD,,,
908,INGENIERIA EN GESTION EMPRESARIAL,,,3,5334,CONTABILIDAD,,,
2550,INGENIERIA EN GESTION EMPRESARIAL,,,3,5334,CONTABILIDAD,,,
1080,INGENIERIA EN GESYTION EMPRESARIAL,,,3,5334,CONTABILIDAD,,,
2296,INGENIERIA EN INFORMATICA,,,3,5334,CONTABILIDAD PUBLICA,,,
2215,INGENIERIA EN INFORMATICA Y SISTEMAS COMPUTACIONAL,,,3,5334,CONTABILIDAD Y ADMINISTRACION,,,
1904,INGENIERIA EN INNOVAVION Y DESARROLLO EMPRESARIAL,,,3,5334,CONTADOR PRIVADO,,,
944,INGENIERIA EN LOGISTICA,,,3,5334,CONTADOR PUBLICO,,,
2692,INGENIERIA EN LOGISTICA,,,3,5334,CONTADOR PUBLICO,,,
1980,INGENIERIA EN MANTENIMIENTO  INDUSTRIAL,,,3,5334,CONTADOR PUBLICO,,,
1028,INGENIERIA EN MANTENIMIENTO INDUSTRIAL,,,3,5334,CONTADOR PUBLICO,,,
2273,INGENIERIA EN MECATRONICA,,,3,5334,CONTADOR PUBLICO,,,
1430,INGENIERIA EN MECATRONICA,,,3,5334,CONTADOR PUBLICO,,,
2209,INGENIERIA EN PROCESOS INDUSTRIALES,,,3,5334,CONTADOR PUBLICO,,,
1986,INGENIERIA EN RESTAURACION FORESTAL,,,3,5334,CONTADOR PUBLICO,,,
1899,INGENIERIA EN ROBOTICA,,,3,5334,CONTADOR PUBLICO,,,
489,"INGENIERIA EN SISTE,AS COMPUTACIONALES",,,3,5334,CONTADOR PUBLICO,,,
2033,INGENIERIA EN SISTEMA,,,3,5334,CONTADOR PUBLICO,,,
2698,INGENIERIA EN SISTEMAS,,,3,5334,CONTADOR PUBLICO,,,
2483,INGENIERIA EN SISTEMAS,,,3,5334,CONTADOR PUBLICO,,,
855,INGENIERIA EN SISTEMAS COM PUTACIONALES,,,3,5334,CONTADOR PUBLICO,,,
1105,INGENIERIA EN SISTEMAS COMPUTACINALES,,,3,5334,CONTADOR PUBLICO,,,
299,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,3,5334,CONTADOR PUBLICO,,,
47,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,3,5334,CONTADOR PUBLICO,,,
1024,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,3,5334,CONTADOR PUBLICO AUDITOR,,,
225,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,3,5334,CONTADOR PUBLICO Y AUDITOR,,,
2509,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,3,5334,CONTADURIA,,,
1406,INGENIERIA EN SISTEMAS COPUTACIONALES,,,3,5334,CONTADURIA,,,
2467,INGENIERIA EN SISTEMAS DE COMPUTACION ELECTRONICA,,,3,5334,CONTADURIA,,,
1320,INGENIERIA EN SISTEMAS ENERGETICOS,,,3,5334,CONTADURIA,,,
2133,INGENIERIA EN SISTEMAS Y TECNOLOGIAS INDUSTRIALES,,,3,5334,CONTADURIA,,,
2741,INGENIERIA EN SOFTWARE,,,3,5334,CONTADURIA,,,
1669,INGENIERIA EN TECNOLOGIA DE SOFTWARE,,,3,5334,CONTADURIA,,,
2456,INGENIERIA EN TECNOLOGIAS DE INFORMACION Y COMUNIC,,,3,5334,CONTADURIA PUBLICA,,,
1237,INGENIERIA EN TRANSPORTE,,,3,5334,CONTADURIA PUBLICA,,,
2148,INGENIERIA INDUSTRIAL,,,3,5334,CONTADURIA PUBLICA,,,
786,INGENIERIA INDUSTRIAL,,,3,5334,CONTADURIA PUBLICA,,,
2337,INGENIERIA INDUSTRIAL,,,3,5334,CONTADURIA PUBLICA,,,
590,INGENIERIA INDUSTRIAL,,,3,5334,CONTADURIA PUBLICA,,,
2772,INGENIERIA INDUSTRIAL,,,3,5334,CONTADURIA PUBLICA,,,
1471,INGENIERIA INDUSTRIAL,,,3,5334,CONTADURIA PUBLICA,,,
340,INGENIERIA INDUSTRIAL,,,3,5334,CONTADURIA PUBLICA,,,
373,INGENIERIA INDUSTRIAL,,,3,5334,LIC EN CONTABILIDAD,,,
1264,INGENIERIA INDUSTRIAL,,,3,5334,LIC EN CONTADOR PUBLICO,,,
1692,INGENIERIA INDUSTRIAL,,,3,5334,LICENCIADA EN CONTADURIA,,,
2400,INGENIERIA INDUSTRIAL,,,3,5334,LICENCIADO EN CONTADURIA,,,
2213,INGENIERIA INDUSTRIAL,,,3,5334,LICENCIADO EN CONTADURIA,,,
2293,INGENIERIA INDUSTRIAL,,,3,5334,LICENCIADO EN CONTADURIA,,,
2255,INGENIERIA INDUSTRIAL,,,3,5334,LICENCIADO EN CONTADURIA,,,
1291,INGENIERIA INDUSTRIAL,,,3,5334,LICENCIADO EN CONTADURIA PUBLICA,,,
2027,INGENIERIA INDUSTRIAL,,,3,5334,LICENCIATURA EN CONTABILIDAD,,,
103,INGENIERIA INDUSTRIAL EN ELECTRONICA,,,3,5334,LICENCIATURA EN CONTADURIA,,,
435,INGENIERIA INDUSTRIAL EN PRODUCCION,,,3,5334,LICENCIATURA EN CONTADURIA,,,
2191,INGENIERIA INDUSTRIAL ESPECIALIDAD EN PRODUCTIVIDA,,,3,5334,LICENCIATURA EN CONTADURIA,,,
2439,INGENIERIA MECANICA,,,3,5334,LICENCIATURA EN CONTADURIA,,,
1342,INGENIERIA MECANICA,,,3,5334,LICENCIATURA EN CONTADURIA,,,
2453,INGENIERIA MECANICA,,,3,5334,LICENCIATURA EN CONTADURIA PUBLICA,,,
1330,INGENIERIA MECANICA DE AVIACION,,,3,5334,LICENCIATURA EN CONTADUR√çA PUBLICA,,,
459,INGENIERIA MECANICA ELECTRICA,,,3,5334,LICENCIATURA EN NCONTABILIDAD,,,
1539,INGENIERIA MECANICA INDUSTRIAL,,,1,5335,ING. EN GESTION EMPRESARIAL,,,
1600,INGENIERIA PESQUERA,,,1,5335,ING. MECANICO ADMINISTRADOR,,,
2435,INGENIERIA QUIMICA,,,1,5335,INGENIERIA CIVIL Y ADMINISTRACION,,,
2582,INGENIERIA QUIMICA,,,1,5335,INGENIERIA EN GESTION EMPRESARIAL,,,
2399,INGENIERIA QUIMICA,,,1,5335,INGENIERIA EN GESTION EMPRESARIAL,,,
2490,INGENIERIA QUIMICA,,,1,5335,INGENIERIA EN GESTION EMPRESARIAL,,,
1350,INGENIERIA QUIMICA,,,1,5335,INGENIERIA EN GESTION EMPRESARIAL,,,
1842,INGENIERIA TEXTIL,,,1,5335,INGENIERIA EN GESTION EMPRESARIAL,,,
513,INGENIERIRIA EN SISTEMA,,,1,5335,INGENIERIA EN GESYTION EMPRESARIAL,,,
1587,INGENIERO,,,1,5335,INGENIERIA EN INNOVAVION Y DESARROLLO EMPRESARIAL,,,
1299,INGENIERO,,,1,5335,INGENIERIA EN LOGISTICA,,,
2366,INGENIERO AGRONOMO,,,1,5335,INGENIERIA EN LOGISTICA,,,
2492,INGENIERO AGRONOMO,,,1,5335,INGENIERO EN DESARROLLO E INOVACION EMPRESARIAL,,,
2023,INGENIERO AGRONOMO,,,3,5335,ADMINISTRACCION DE EMPRESAS,,,
2716,INGENIERO AGRONOMO,,,3,5335,ADMINISTRACION DE EMPRESA,,,
1756,INGENIERO CIVIL,,,3,5335,ADMINISTRACION DE EMPRESA,,,
2405,INGENIERO CIVIL,,,3,5335,ADMINISTRACION DE EMPRESA,,,
771,INGENIERO CIVIL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
2028,INGENIERO CIVIL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
772,INGENIERO CIVIL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
829,INGENIERO CIVIL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
1411,INGENIERO CIVIL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
2183,INGENIERO ELECTRICISTA,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
1158,INGENIERO EN COMUNICACIONES Y ELECTRONICA,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
240,INGENIERO EN COMUNICACIONES Y ELECTRONICA,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
39,INGENIERO EN DESARROLLO E INOVACION EMPRESARIAL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
2676,INGENIERO EN DESARROLLO RURAL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
1443,INGENIERO EN DESARROLLO RURAL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
707,INGENIERO EN ECOLOGIA,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
989,INGENIERO EN SISTEMAS COMPUTACIONALES,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
1942,INGENIERO GEOLOGO,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
2538,INGENIERO INDUSTRIAL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
2248,INGENIERO INDUSTRIAL,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
96,INGENIERO MECANICO,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
870,INGENIERO MECANICO,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
1436,INGENIERO MECANICO,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
2834,INGENIERO MECANICO ELECTRICISTA,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
1658,INGENIERO MECANICO ELECTRICO,,,3,5335,ADMINISTRACION DE EMPRESAS,,,
1663,INGENIERO MECANICO ELECTRICO,,,3,5335,ADMINISTRACION DE EMPRESAS TURISTICAS,,,
2134,INGENIERO METALURGUISTA,,,3,5335,ADMINISTRACION DE PEQUE√ëAS Y MEDIANAS EMPRESAS,,,
2847,INGENIERO MINERO METALURGISTA,,,3,5335,ADMINISTRACION DEEMPRESAS TURISTICAS,,,
738,INGENIERO QUIMICO,,,3,5335,ADMINISTRACION SERVICIOS Y OPERACIONES,,,
706,INGENIERO ZOOTECNISTA,,,3,5335,ADMINISTRADOR DE EMPRESAS,,,
1362,INGENIOERIA CIVIL,,,3,5335,ADMINSTRACION DE EMPRESAS,,,
2564,INGERIA MECANICA,,,3,5335,ADMISTRACION DE EMPRESAS,,,
933,INGIENERIA EN ELECTROMECANICA,,,3,5335,CIENCIAS POLITICAS DE ADMINISTRACION PUBLICA,,,
562,INGIENERIA EN SISTEMAS COMPUTACIONALES,,,3,5335,DESARROLLO E INNOVACION EMPRESARIAL,,,
596,INGIENERIA INDUSTRIAL,,,3,5335,EN ADMINISTRACION DE EMPRESAS,,,
2101,INGIENERIA INDUSTRIAL,,,3,5335,Especialidad en direcci√≥n de organizaciones tur√≠st,,,
617,INGIENERIA QUIMICA,,,3,5335,GESTION EMPRESARIAL,,,
188,INNOVACION E INVESGACION EDUCATIVA,,,3,5335,GESTION TURISTICA,,,
2833,INVESTIGACION EDUCATIVA,,,3,5335,GESTION Y DESARROLLO  TURISTICO,,,
1364,LECENCIATURA EN EDUCACION,,,3,5335,GESTION Y DESARROLLO TURISTICO,,,
1047,LENGUA INGLESA,,,3,5335,LIC EN ADMINISTRACION DE EMPRESAS,,,
2075,LENGUAS EXTRANJERAS,,,3,5335,LIC. EN RELACIONES INDURSTRIALES,,,
2539,LENGUISTICA APLICADA,,,3,5335,LICENCIADA EN ADIMISTRACION DE EMPRESAS TURISTICAS,,,
54,LETRAS HISPANICAS,,,3,5335,LICENCIADA EN ADMINISTRACION  EMPRESARIAL,,,
2347,LIC ADMINISTRACION,,,3,5335,LICENCIADA EN ADMINISTRACION DE EMPRESAS,,,
1171,LIC EN ADMINISTRACION,,,3,5335,LICENCIADA EN ADMINISTRACION DE EMPRESAS,,,
1213,LIC EN ADMINISTRACION DE EMPRESAS,,,3,5335,LICENCIADA EN ADMINISTRACION DE EMPRESAS,,,
2334,LIC EN CONTABILIDAD,,,3,5335,LICENCIADA EN ADMINISTRACION DE EMPRESAS,,,
438,LIC EN CONTADOR PUBLICO,,,3,5335,LICENCIADA EN ADMINISTRACION Y GESTION,,,
1625,LIC EN DERECHO,,,3,5335,LICENCIADA EN TURISMO,,,
2409,LIC EN DERECHO,,,3,5335,LICENCIADO EN ADMINISTARCION AGROTECNOLOGICA,,,
2371,LIC EN DERECHO,,,3,5335,LICENCIADO EN ADMINISTRACION DE EMPRESAS,,,
395,LIC EN EDEUCACION PREESCOLAR,,,3,5335,LICENCIADO EN ADMINISTRACION DE EMPRESAS,,,
79,LIC EN ENFERMERIA,,,3,5335,LICENCIADO EN ADMINISTRACION DE EMPRESAS,,,
