,S3P2_ES,,,z,S3P2,S3P2_ES,,,
2563,LICENCIATURA ENE INFORMATICA,,,1,5517,INGENIERO EN COMUNICACIONES Y ELECTRONICA,,,
2395,LICENCIATURA SIN NOMBRE,,,1,5517,INGENIERO EN SISTEMAS COMPUTACIONALES,,,
144,LICENCIDO EN DERECHO,,,1,5517,INGIENERIA EN SISTEMAS COMPUTACIONALES,,,
2632,LICENCIOADA EN DERECHO,,,1,5517,LINCECIATURA EN SISTEMAS COMPUTACIONALES,,,
2406,LICENIATURA EN ADMINISTRAION DE EMPRESAS,,,1,5517,SISTEMA COMPUTACIONALES,,,
403,LICIENCIATURA EN ENFERMERIA,,,1,5517,SISTEMAS COMPUTACIONALES,,,
2437,LICIENTATURA N ENFERMERIA,,,2,5517,COMNICACIONES  Y ELECTRONICA,,,
165,LICIENTURA EN TURISMO,,,3,5517,COMUNICACIONES,,,
2396,LIDERAZGO EN ADMINISTRACION ACADEMICA,,,1,5520,INGENIERIA EN PROCESOS INDUSTRIALES,,,
2793,LINCECIATURA EN SISTEMAS COMPUTACIONALES,,,1,5520,INGENIERIA INDUSTRIAL EN PRODUCCION,,,
1052,LINGUISTICA,,,1,5520,INGENIERIA INDUSTRIAL ESPECIALIDAD EN PRODUCTIVIDA,,,
1318,MAESTRA,,,1,5521,INGENIERIA EN ALIMENTOS,,,
1103,MAESTRA DE EDUCACION PRIMARIA,,,1,5522,INGENIERIA TEXTIL,,,
838,MAESTRA DE EDUCACION PRIMARIA,,,1,5524,IMNGENIERO MINERO,,,
2804,MAESTRA DE NIVEL SECUNDARIA,,,1,5524,INGENIERO GEOLOGO,,,
21,MAESTRA DE PRIMARIA,,,1,5524,INGENIERO MINERO METALURGISTA,,,
782,MAESTRA DE PRIMARIA,,,1,5531,ARQUITECTO,,,
295,MAESTRA DE PRIMARIA,,,1,5531,ARQUITECTO,,,
477,MAESTRAIA EN DERECHO ECONOMICO,,,1,5531,ARQUITECTURA,,,
1700,MAESTRIA EN ADMINISTRACION,,,1,5531,ARQUITECTURA,,,
2779,MAESTRIA EN ADMINISTRACION,,,1,5531,ARQUITECTURA,,,
616,MAESTRIA EN ADMINISTRACION DE EMPRESAS,,,1,5531,ARQUITECTURA,,,
2297,MAESTRIA EN ADMINISTRACION DE NEGOCIOS,,,1,5531,ARQUITECTURA,,,
553,MAESTRIA EN ADMINISTRACION PUBLICA,,,1,5531,ARQUITECTURA,,,
1568,MAESTRIA EN ADMINISTRACION Y NEGOCIOS,,,1,5531,ARQUITECTURA,,,
249,MAESTRIA EN BIBLIOTECOLOGIA,,,1,5531,ARQUITECTURA,,,
2331,MAESTRIA EN CICOTERAPIA INFANTIL,,,1,5531,ARQUITECTURA,,,
2820,MAESTRIA EN CIENCIA JURIDICO PENAL,,,1,5531,ARQUITECTURA,,,
1470,MAESTRIA EN CIENCIAS COGNITIVAS,,,1,5531,ARQUITECTURA,,,
1798,MAESTRIA EN CIENCIAS DE LA EDUCACION,,,1,5531,ARQUITECTURA,,,
177,MAESTRIA EN CIENCIAS QUIMICAS,,,1,5531,ARQUITECTURA,,,
2787,MAESTRIA EN COMUNICACIONES,,,1,5531,ARQUITECTURA,,,
586,MAESTRIA EN DERECHO,,,1,5531,ARQUITECTYRA,,,
1162,MAESTRIA EN DISE√ëO INDUSTRIAL,,,1,5531,LICENCIATURA EN ARQUITECTURA,,,
2761,MAESTRIA EN EDUCACION,,,3,5531,LICENCIATURA DE ARQUITECTURA,,,
2059,MAESTRIA EN EDUCACION,,,1,5532,INGENERIA CIVIL,,,
663,MAESTRIA EN EDUCACION,,,1,5532,INGENERIA CIVIL,,,
2295,MAESTRIA EN EDUCACION,,,1,5532,INGENIERI CIVIL,,,
1770,MAESTRIA EN EDUCACION,,,1,5532,INGENIERIA CIVIL,,,
652,MAESTRIA EN EDUCACION BASICA,,,1,5532,INGENIERIA CIVIL,,,
1412,MAESTRIA EN HISTORIA REGIONAL,,,1,5532,INGENIERIA CIVIL,,,
2693,MAESTRIA EN INGENIERIA INDUSTRIAL,,,1,5532,INGENIERIA CIVIL,,,
2816,MAESTRIA EN INTERVENCION EN PAREJA Y FAMILIA,,,1,5532,INGENIERIA CIVIL,,,
2696,MAESTRIA EN MERCADOTECNIA,,,1,5532,INGENIERIA CIVIL,,,
248,MAESTRIA EN NEGOCIOS,,,1,5532,INGENIERIA CIVIL,,,
1548,MAESTRIA EN PEDADOGIA,,,1,5532,INGENIERIA CIVIL,,,
558,MAESTRIA EN PSICOPEDAGOGIA,,,1,5532,INGENIERIA CIVIL,,,
2827,MAESTRIA EN SICOTERAPIA,,,1,5532,INGENIERO CIVIL,,,
282,MAESTRIA EN VENTAS,,,1,5532,INGENIERO CIVIL,,,
1473,MAESTRIAN EN ADIMINISTRACION,,,1,5532,INGENIERO CIVIL,,,
2712,MAESTRO DE PRIMARIA,,,1,5532,INGENIERO CIVIL,,,
2722,MAESTRO EN EDUCACION PRIMARIA,,,1,5532,INGENIERO CIVIL,,,
262,MAESTRO EN EDUCACION PRIMARIA,,,1,5532,INGENIERO CIVIL,,,
2709,MANTENIMIENTO DE COMPUTADORAS,,,1,5532,INGENIERO CIVIL,,,
2728,MANTENIMIENTO INDUSTRIAL,,,1,5532,INGENIOERIA CIVIL,,,
1994,MARKETING Y PUBLICIDAD,,,1,5611,INGENIERO AGRONOMO,,,
304,MASTER EN COMPUTACION,,,1,5611,INGENIERO AGRONOMO,,,
2160,MATEMATICAS AVANSADAS,,,1,5611,INGENIERO AGRONOMO,,,
203,MECANICA AUTOMOTRIZ,,,1,5611,INGENIERO AGRONOMO,,,
1102,MECATRONICA,,,1,5611,INGENIERO ZOOTECNISTA,,,
1626,MECATRONICA,,,2,5611,AGRONOMIA,,,
2176,MEDICINA,,,2,5611,AGRONOMIA,,,
337,MEDICINA,,,2,5611,AGRONOMIA,,,
1059,MEDICINA,,,1,5613,INGENIERIA EN RESTAURACION FORESTAL,,,
574,MEDICINA,,,1,5614,INGENIERIA PESQUERA,,,
1349,MEDICINA,,,2,5621,MEDICINA VETERINARIA,,,
1149,MEDICINA  FAMILIAR,,,2,5621,MEDICINA VETERINARIA DE ZOOTECNIA,,,
145,MEDICINA FAMILIAR,,,2,5621,MEDICINA VETERINARIA Y ZOOTECNIA,,,
2801,MEDICINA FAMILIAR,,,2,5621,MEDICO VETERINARIO,,,
1623,MEDICINA GENERAL,,,2,5621,MEDICO VETERINARIO ZOOTECNISTA,,,
428,MEDICINA GENERAL,,,2,5621,MEDICO VETERINARIO ZOOTECNISTA,,,
431,MEDICINA VETERINARIA,,,2,5621,VETERINARIA,,,
2770,MEDICINA VETERINARIA DE ZOOTECNIA,,,2,5711,DOCTORA,,,
2210,MEDICINA VETERINARIA Y ZOOTECNIA,,,2,5711,LICENCIATURA EN MEDICINA HUMANA,,,
1475,MEDICO,,,2,5711,LICENCIATURA EN MEDICO CIRUJANO,,,
2457,MEDICO CIRUJANO,,,2,5711,MEDICINA,,,
2397,MEDICO CIRUJANO,,,2,5711,MEDICINA,,,
960,MEDICO CIRUJANO,,,2,5711,MEDICINA,,,
2849,MEDICO CIRUJANO DENTISTA,,,2,5711,MEDICINA,,,
2762,MEDICO CIRUJANO DENTISTA,,,2,5711,MEDICINA,,,
551,MEDICO CIRUJANO GENERAL,,,2,5711,MEDICINA GENERAL,,,
1541,MEDICO CIRUJANO PARTERO,,,2,5711,MEDICINA GENERAL,,,
1656,MEDICO CIRUJANO Y PARTERO,,,2,5711,MEDICO,,,
1084,MEDICO GENERAL,,,2,5711,MEDICO CIRUJANO,,,
1773,MEDICO QUIRURGUICO,,,2,5711,MEDICO CIRUJANO,,,
1624,MEDICO VETERINARIO,,,2,5711,MEDICO CIRUJANO,,,
2598,MEDICO VETERINARIO ZOOTECNISTA,,,2,5711,MEDICO CIRUJANO GENERAL,,,
2835,MEDICO VETERINARIO ZOOTECNISTA,,,2,5711,MEDICO CIRUJANO PARTERO,,,
1175,MERCADOTECNIA,,,2,5711,MEDICO CIRUJANO Y PARTERO,,,
1997,MERCADOTECNIA,,,2,5711,MEDICO GENERAL,,,
883,MERCADOTECNIA,,,2,5711,MEDICO QUIRURGUICO,,,
355,MERCDOCTENIA,,,2,5712,ENFERMERA,,,
1402,NBEGOCIOS INTERNACIONALES,,,2,5712,ENFERMERA,,,
2126,NEGOCIOS INTERNACIONALES,,,2,5712,ENFERMERIA,,,
2832,NGENIERIA MECATRONICA,,,2,5712,ENFERMERIA,,,
77,NO QUIZO RESPONDER,,,2,5712,ENFERMERIA,,,
1037,NORMAL,,,2,5712,ENFERMERIA,,,
2506,NORMAL BASICA,,,2,5712,ENFERMERIA,,,
2503,NORMAL PRIMARIA,,,2,5712,ENFERMERIA GENERAL,,,
1073,NORMAL SUPERIOR,,,2,5712,ENFERMERIA Y OBSTETRICIA,,,
2007,NORMALISTA,,,2,5712,LIC EN ENFERMERIA,,,
2201,NUTRICION,,,2,5712,LICENCIADA EN EMFERMERIA,,,
785,NUTRICION,,,2,5712,LICENCIADA EN ENFERMERIA,,,
2695,NUTRICION CLINICA,,,2,5712,LICENCIADA EN ENFERMERIA,,,
1752,ODONTOLOGIA,,,2,5712,LICENCIADO EN ENFERMERIA,,,
2825,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENEFERMERIA Y OBSTETRICIA,,,
1546,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
1560,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
1659,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
1389,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
657,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
521,OLISTICA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
1241,OPTOMETRIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
868,PEDAGOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
2604,PEDAGOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
467,PERIODISMO,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
430,PILOTO AVIADOR,,,2,5712,LICIENCIATURA EN ENFERMERIA,,,
1249,PREPARACI√ìN DE ALIMENTOS Y BEBIDAS,,,2,5712,LICIENTATURA N ENFERMERIA,,,
1610,PROFESIONAL ASOCIADO EN TERAPIA FISICA,,,2,5712,URGENCIAS MEDICAS PREHOSPITALARIAS,,,
1614,PROFESIONAL TECNICO CONTABLE ADMINISTRATIVO,,,2,5713,CD LIC EN ODONTOLOGIA,,,
2010,PROFESIONAL TECNICO EN TURISMO,,,2,5713,CIRUJANO DENTISTA,,,
2507,PROFESOR,,,2,5713,CIRUJANO DENTISTA,,,
1606,PROFESOR DE EDUCACION PRIMARIA,,,2,5713,ESTOMATOLOGIA,,,
1446,PROFESOR DE PRIMARIA,,,2,5713,ESTOMATOLOGIA,,,
2451,PROFESOR EDUCADOR PREESCOLAR,,,2,5713,ESTOMATOLOGIA,,,
1061,PROFESORA EDUCACION PRIMARIA,,,2,5713,LICENCIATURA EN ODONTOLOG√çA,,,
2706,PROGRAMADOR ANALISTA,,,2,5713,MEDICO CIRUJANO DENTISTA,,,
1334,PROGRAMADOR ANALISTA,,,2,5713,MEDICO CIRUJANO DENTISTA,,,
2707,PROGRAMADOR ANALISTA EN INFORMATICA,,,2,5713,ODONTOLOGIA,,,
1239,PROGRAMADORA ANALISTA,,,2,5713,ODONTOLOGIA,,,
967,PSICOLOGIA,,,2,5713,ODONTOLOGIA,,,
2646,PSICOLOGIA,,,2,5713,ODONTOLOGIA,,,
1403,PSICOLOGIA,,,2,5713,ODONTOLOGIA,,,
1356,PSICOLOGIA,,,1,5714,INGENIERIA BIOMEDICA,,,
1880,PSICOLOGIA,,,2,5714,QUIMICA CLINICA,,,
1906,PSICOLOGIA,,,2,5714,QUIMICO CLINICO BIOLOGO,,,
1808,PSICOLOGIA,,,2,5714,RADIOLOGIA,,,
143,PSICOLOGIA,,,2,5715,FISIOTERAPIA,,,
1759,PSICOLOGIA,,,2,5715,FISIOTERAPIA,,,
2203,PSICOLOGIA,,,2,5715,FISIOTERAPIA,,,
1414,PSICOLOGIA,,,2,5715,LIC EN NUTRICION,,,
90,PSICOLOGIA,,,2,5715,LICENCIADA EN FISIOTERAPIA,,,
1304,PSICOLOGIA,,,2,5715,LICENCIADA EN FISIOTERAPIA,,,
2026,PSICOLOGIA CLINICA,,,2,5715,LICENCIADA EN NUTRICCION,,,
2777,PSICOLOGIA EDUCATIVA,,,2,5715,LICENCIATURA EN FICIOTERAPIA Y REAVILITACION FISIC,,,
1407,PSICOLOGIA EDUCATIVA,,,2,5715,LICENCIATURA EN FISIO TERAPIA,,,
1169,PSICOTERAPIA ERICSONIANA,,,2,5715,LICENCIATURA EN NUTRICION,,,
2701,PSICOTERAPIA HUMANISTA,,,2,5715,LICENCIATURA EN NUTRICION Y GASTRONOMIA,,,
1040,PUBLICIDAD Y MERCADOTECNIA,,,2,5715,NUTRICION,,,
1111,PUERICULTURA,,,2,5715,NUTRICION,,,
2078,QUIMICA,,,2,5715,OPTOMETRIA,,,
2631,QUIMICA CLINICA,,,2,5715,REHABILITACION Y TERAPIA FISICA,,,
1620,QUIMICO CLINICO BIOLOGO,,,3,5715,LICENCIATURA DE PFISIOTERAPIA,,,
335,QUIMICO FARMACEUTICO BIOLOGO,,,4,5715,LICENCIATURA EN TERAPIA FISICA,,,
360,QUIMICO FARMACEUTICO BIOLOGO,,,2,5716,QUIMICO FARMACEUTICO BIOLOGO,,,
1388,QUIMICO FARMACOBIOLOGIA,,,2,5716,QUIMICO FARMACEUTICO BIOLOGO,,,
934,QUIMICO FARMACOBIOLOGO,,,4,5811,LICENCIATURA EN CIENCIAS APLICADAS AL DEPORTE,,,
2429,QUIMICO FARMACOBIOLOGO,,,3,5814,AUXILIAR ADMINISTRATIVO,,,
1068,QUIMICO INDUSTRIAL,,,1,5821,INGENIERIA EN TRANSPORTE,,,
1954,RADIOLOGIA,,,3,5841,CIATURA EN SEGURIDAD PUBLICA,,,
1153,RECURSOS HUMANOS,,,3,5841,SEGURIDAD PUBLICA,,,
76,REHABILITACION Y TERAPIA FISICA,,,5,5999,LICENCIATURA SIN NOMBRE,,,
1421,RELACIONES INDUSTRIALES,,,5,5999,NO QUIZO RESPONDER,,,
1215,RELACIONES INTERNACIONALES,,,3,6113,ESPECIALIDAD EN PSICOLOGIA ESDUCATIVA,,,
2355,RELACIONES INTERNACIONALES,,,3,6330,ADMINISTRCION,,,
1949,R√çA EN COMPUTACI√ìN,,,3,6335,EVALUACION DE PROYECTOS,,,
1793,SACERDOTE,,,3,6341,DERECHO PENAL,,,
1896,SALUD PUBLICA,,,3,6341,LICENCIADO EN DERECHO,,,
2122,SECRETAIRA CORRESPONSAL,,,2,6411,HISTOPATOLOGIA,,,
2388,SECRETARA EJECUTIVA,,,1,6431,MATEMATICAS AVANSADAS,,,
1792,SECRETARIA,,,1,6432,ESTADISTICAS EXPRIMENTADAS,,,
2017,SECRETARIA,,,2,6532,ESPECIALIDAD EN INGENIERIA URBANA,,,
2114,SECRETARIA,,,3,7110,CIENCIAS DE LA EDUCACION,,,
2350,SECRETARIA,,,3,7110,CIENCIAS DE LA EDUCACION,,,
2831,SECRETARIA,,,3,7110,LICENCIATURA EN EDUCACION,,,
13,SECRETARIA ADMINISTRATIVA,,,3,7110,MAESTRIA EN CIENCIAS DE LA EDUCACION,,,
1601,SECRETARIA AUXILIAR,,,3,7110,MAESTRIA EN EDUCACION,,,
1043,SECRETARIA BILINGUE,,,3,7110,MAESTRIA EN EDUCACION,,,
193,SECRETARIA BILINGUE,,,3,7110,MAESTRIA EN EDUCACION,,,
2476,SECRETARIA BILINGUE CONTADOR PRIVADO,,,3,7110,MAESTRIA EN EDUCACION,,,
2052,SECRETARIA COMERCIAL,,,3,7110,MAESTRIA EN EDUCACION,,,
1951,SECRETARIA COMERCIAL,,,3,7111,MAESTRIA EN CIENCIAS COGNITIVAS,,,
1604,SECRETARIA EJECUTIVA,,,3,7111,MAESTRIA EN EDUCACION BASICA,,,
1607,SECRETARIA EJECUTIVA,,,4,7111,MAESTRIA EN PEDADOGIA,,,
2743,SECRETARIA EJECUTIVA,,,3,7112,DOCENCIA E INOVACION EDUCATIVA,,,
578,SECRETARIA EJECUTIVA,,,3,7112,INNOVACION E INVESGACION EDUCATIVA,,,
1545,SECRETARIA EJECUTIVA,,,3,7112,INVESTIGACION EDUCATIVA,,,
1599,SECRETARIA EJECUTIVA,,,2,7113,MAESTRIA EN PSICOPEDAGOGIA,,,
194,SECRETARIA EJECUTIVA,,,4,7114,TECNOLOGIAS EN EDUCACION,,,
218,SECRETARIA EJECUTIVA,,,3,7120,FORMACION DOCENTE,,,
294,SECRETARIA EJECUTIVA,,,3,7128,DIFICULTADES EN EL APRENDIZAJE,,,
1497,SECRETARIA EJECUTIVA,,,3,7224,MAESTRIA EN HISTORIA REGIONAL,,,
1192,SECRETARIA EJECUTIVA BILINGUE,,,3,7310,CIENCIAS SOCIALES,,,
2466,SECRETARIA EJECUTIVA BILINGUE Y CONTADOR PRIVADO,,,2,7311,PSICOTERAPIA ERICSONIANA,,,
1567,SECRETARIA EJECUTIVA EN INFORMATICA,,,2,7311,PSICOTERAPIA HUMANISTA,,,
1627,SECRETARIA EJECUTIVA Y CONTADOR PRIVADO,,,2,7311,TERAPIA GESTAL,,,
14,SECRETARIA EJECUTIVA Y CONTADOR PRIVADO,,,4,7311,MAESTRIA EN CICOTERAPIA INFANTIL,,,
1095,SECRETARIA EN AREAS CONTABLES Y COMERCIALES,,,4,7311,MAESTRIA EN SICOTERAPIA,,,
462,SECRETARIA TAQUIMECANOGRAFA,,,3,7312,EN CIENCIAS SOCIALES EN ESTUDIOS CULTURALES,,,
2058,"SECRETARIA, EN AREAS CONTABLES Y COMERCIALES",,,3,7313,RELACIONES INTERNACIONALES,,,
2189,SECRETARIADO,,,1,7314,INGENIERIA ECONOMICA Y FINANCIERA,,,
2247,SECRETARIADO,,,3,7314,LICENCIATURA EN ECONOMIA,,,
2190,SECRETARIADO,,,4,7315,MAESTRIA EN INTERVENCION EN PAREJA Y FAMILIA,,,
2469,SECRETARIADO,,,4,7322,MAESTRIA EN BIBLIOTECOLOGIA,,,
2573,SECRETARIADO,,,3,7330,MAESTRIA EN ADMINISTRACION,,,
458,SECRETARIADO,,,3,7330,MAESTRIAN EN ADIMINISTRACION,,,
1507,SECRETARIADO,,,4,7330,LIDERAZGO EN ADMINISTRACION ACADEMICA,,,
633,SECRETARIADO COMERCIAL,,,3,7331,ADMINISTRACION INTERNACIONAL,,,
2077,SECRETARIADO COMERCIAL,,,3,7331,MAESTRIA EN ADMINISTRACION DE NEGOCIOS,,,
714,SECRETARIADO EJECUTIVO,,,3,7331,MAESTRIA EN ADMINISTRACION Y NEGOCIOS,,,
2312,SECRETARIADO EJECUTIVO,,,3,7331,MAESTRIA EN NEGOCIOS,,,
1580,SEGURIDAD PUBLICA,,,3,7332,MAESTRIA EN MERCADOTECNIA,,,
1060,SICOLOGIA,,,3,7332,MARKETING Y PUBLICIDAD,,,
1118,SICOLOGIA,,,3,7332,MERCDOCTENIA,,,
1704,SISTEMA COMPUTACIONALES,,,5,7332,MAESTRIA EN VENTAS,,,
101,SISTEMAS COMPUTACIONALES,,,3,7333,ADMINISTRACION FINANCIERA,,,
2667,SISTEMAS COMPUTACIONALES ADMINISTRATIVOS,,,3,7333,FINANZAS,,,
1163,SISTEMAS DE INFORMACION,,,3,7333,FINANZAS INTERNACIONALES,,,
1662,SISTEMAS DIGITALES Y ROBOTICA,,,3,7334,AUDITORIA,,,
1791,SOCIOLOGIA,,,3,7334,CONTADURIA,,,
1188,SUPERVISOR INDUSRTRIAL,,,3,7335,ADMINISTARACION PUBLICA,,,
2313,TAQUIMACANOGRAFIA,,,3,7335,ADMINISTRACION DE EMPRESAS,,,
343,TAQUIMECANOGRAFA,,,3,7335,ADMINISTRACION DE EMPRESAS CONSTRUCTORAS,,,
387,TECNICA AGROPECUARIA,,,3,7335,ADMINISTRACON EDUCATIVA,,,
1693,TECNICA COMERCIAL,,,3,7335,MAESTRIA EN ADMINISTRACION,,,
306,TECNICA EN AUXILIAR DE ENFERMERIA,,,3,7335,MAESTRIA EN ADMINISTRACION DE EMPRESAS,,,
1668,TECNICA EN ENFERMERIA,,,3,7335,MAESTRIA EN ADMINISTRACION PUBLICA,,,
2061,TECNICA EN ENFERMERIA GENERAL,,,3,7341,DERECHO,,,
2398,TECNICA EN HOTELERIA Y GASTRONOMIA,,,3,7341,DERECHO CONSTITUCIONAL,,,
2013,TECNICA EN TRABAJO SOCIAL,,,3,7341,DERECHO FISCAL Y EMPRESARIAL,,,
766,TECNICO AUTOMOTRIZ,,,3,7341,DERECHO HESTION YAMPARO,,,
65,TECNICO AUXILIAR CONTABLE,,,3,7341,LICENCIATURA EN DERECHO,,,
1335,TECNICO DE AVIACION,,,3,7341,LICENCIDO EN DERECHO,,,
2123,TECNICO EN ALIMENTOS,,,3,7341,MAESTRAIA EN DERECHO ECONOMICO,,,
251,TECNICO EN AVIACION,,,3,7341,MAESTRIA EN CIENCIA JURIDICO PENAL,,,
1797,TECNICO EN COMPUTACION,,,3,7341,MAESTRIA EN DERECHO,,,
1203,TECNICO EN COMPUTACI√ìN Y CONTABILIDAD,,,2,7411,BIOMEDICINA Y BIOTECNOLOGIA MOLECULAR,,,
419,TECNICO EN ENFERMERIA,,,2,7422,MAESTRIA EN CIENCIAS QUIMICAS,,,
1602,TECNICO EN ENFERMERIA,,,3,7422,CIENCIAS DE MATERIALES,,,
2851,TECNICO EN MAQUINAS Y HERRAMIENTAS,,,1,7431,ESPECIALIZADO EN MATEMATICAS,,,
1629,TECNICO EN MECANICA INDUSTRIAL,,,1,7441,MASTER EN COMPUTACION,,,
728,TECNICO EN PRECESOS DE PRODUCCION INDUSTRIAL,,,1,7510,MAESTRIA EN INGENIERIA INDUSTRIAL,,,
1851,TECNICO EN PUERICULTURA INFANTIL,,,1,7511,INGENIERIA MECANICA,,,
399,TECNICO EN SEGURIDAD INDUSTRIAL,,,1,7510,MAESTRIA EN DISE√ëO INDUSTRIAL,,,
2359,TECNICO EN TRABAJO SOCIAL,,,2,7512,BIOENERGETICA,,,
245,TECNICO MECANICO NAVAL,,,2,7514,BIOTECNOLOGIA PRODUCTIVA,,,
765,TECNICO PROFESIONAL EN INFORMATICA,,,1,7516,INGENIERIA DEL MEDIO AMBIENTE,,,
446,TECNICO PROGRAMADOR,,,3,7517,MAESTRIA EN COMUNICACIONES,,,
764,TECNICO QUIMICO INDUSTRIAL,,,1,7532,INGENIERIA CIVIL,,,
636,TECNICO SUPERIOR UNIVERSITARIO EN INFORMATICA,,,1,7532,"INGENIERIA CIVIL, ESPECIALIDAD EN HIDROLOGIA CON M",,,
2681,TECNICO SUPERIOR UNIVERSITARIO EN INFORMATICA ADMI,,,2,7711,ESPECIALIDAD EN GINECOLOG√çA,,,
2254,TECNICO VETERINARIO,,,2,7711,GINECOLOGIA,,,
2807,TECNOLOGIAS EN EDUCACION,,,2,7711,MEDICINA  FAMILIAR,,,
1194,TECNOLOGO PROFESIONAL ENINFRMATICA,,,2,7711,MEDICINA FAMILIAR,,,
454,TERAPIA GESTAL,,,2,7711,MEDICINA FAMILIAR,,,
2367,TRABAJADORA SOCIAL,,,2,7712,ENFERMERIA INFANTIL,,,
1579,TRABAJADORA SOCIAL,,,2,7712,ENFERMERIA PEDIATRICA,,,
1336,TRABAJO SOCIAL,,,2,7713,ODONTOLOGIA,,,
2095,TRABAJO SOCIAL,,,2,7715,NUTRICION CLINICA,,,
2634,TRABAJO SOCIAL,,,2,7717,SALUD PUBLICA,,,
848,TRABAJO SOCIAL,,,3,8110,DOCTORADO EN CIENCIAS DE LA EDUCACION,,,
595,TRABAJO SOCIAL,,,3,8110,DOCTORADO EN EDUCACION,,,
311,TRABAJO SOCIAL,,,3,8110,DOCTORADO EN EDUCACION,,,
1370,TRABAJO SOCIAL,,,3,8111,GESTION PEDAGOGICA,,,
563,TRABAJO SOCIAL,,,3,8126,ENTRENADORA DE EDUCACION,,,
2318,TSU EN MANUFACTURA AERONAUTICA EN MAQUINARIA DE PR,,,3,8310,DOCTORADO EN CIENCIAS SOCIALES Y HUMANIDADES,,,
1382,TURISMO,,,4,8312,DOCTORADO EN ESTUDIOS REGIONALES,,,
749,TURISMO,,,3,8335,ADMINISTRACION PUBLICA,,,
197,TURISMO ALTERNATIVO,,,3,8335,CIENCIAS POLITICAS Y ADMINISTRACCION PUBLICA,,,
258,TURISMO ALTERNATIVO,,,2,8423,DOCTORADO EN INVESTIGACION DE  SUELOS Y AGUA,,,
925,TURISMO Y HOTELERIA,,,1,8514,INGENIERIA DE LAS REACCIONES QUIMICAS,,,
1985,URGENCIAS MEDICAS PREHOSPITALARIAS,,,1,8514,INGENIERIA QUIMICA,,,
1961,VETERINARIA,,,2,8715,EN CIENCIAS DE NUTRICION TRASNACIONAL,,,
